时间,UID,用户名,注册时间,用户等级,牌子,用户直播间等级,SC内容,金额,删除
2022/5/21 20:15,15374066,啵啵天狼星,,,蕾丝(15),12,OP，超好听！,50,
2022/5/21 20:16,299727433,次元境界,,,嘉心糖(25),18,结界好美啊,30,
2022/5/21 20:16,448758854,乃琳爱你呦,,,奶淇琳(22),11,乃宝，今天521，我要和乃琳结婚！！！我要和乃琳结婚！！！我要和乃琳结婚！！！我要和乃琳结婚！！！,50,
2022/5/21 20:18,63730,豆子_DD,,,雏草姬(3),15,长枪？新装备，好耶,50,
2022/5/21 20:18,19826160,老贝比拉,,,顶碗人(21),19,好！,52,
2022/5/21 20:18,12235630,゛薛定谔的喵,,,嘉心糖(28),22,嘉人们，晚上好！,50,
2022/5/21 20:18,45309434,MaloolaM丶,,,奶淇琳(23),10,这下不得不进宫了,50,
2022/5/21 20:19,299727433,次元境界,,,嘉心糖(25),18,嗨呀，是我吗？,30,
2022/5/21 20:19,7949054,高调奢华美男子,,,顶碗人(23),40,绷不住惹,100,
2022/5/21 20:19,35586962,南方普洱茶,,,贝极星(24),20,贝极派集合,50,
2022/5/21 20:19,305966205,万月印,,,嘉心糖(24),12,以后我是嘉人门大师兄，别和我抢,50,
2022/5/21 20:19,477603043,回旋枸,,,贝极星(21),1,乃宝想笑就笑吧,30,
2022/5/21 20:19,1749744666,茨木ツバサ,,,顶碗人(2),2,宝贝们晚上好！521快乐。,30,
2022/5/21 20:20,629687529,jhinsokon,,,嘉心糖(7),6,RNG加油！！！！！！！！！！！！！！！！！！！！！！！！！,50,
2022/5/21 20:21,4599697,雪色幻想,,,顶碗人(23),16,夸夸驼子，小剧场真好看！晚晚我爱你！！！！！！！！！！！！！！！！！！！,30,
2022/5/21 20:21,3278213,提拉kira,,,贝极星(27),21,77777，好棒,50,
2022/5/21 20:23,34339343,枝江火警,,,嘉心糖(22),13,   ,30,
2022/5/21 20:23,299727433,次元境界,,,嘉心糖(25),18,然宝，mua你一口,30,
2022/5/21 20:23,11650527,我不背锅QAQ,,,嘉心糖(8),27,晚上好！！！！！,50,
2022/5/21 20:23,13791239,量子霍爾效應,,,贝极星(23),14,小垚妞，521快乐～,50,
2022/5/21 20:23,8063266,凉宫春日的恍惚,,,顶碗人(24),20,舞琳大会！看来乃琳要狠狠地被其他三个拿捏了！,50,
2022/5/21 20:23,355861815,Pepper_pp,,,顶碗人(21),2,顶碗帮集合,50,
